|trigger_name|name        |error_radius|time                   |end_time               |trigger_time           |trigger_type|geo_long|geo_lat |localization_source|
|bn210511869 |TGF210511869|     33.2833|2021-05-11 20:49:09.633|2021-05-11 20:59:24.044|2021-05-11 20:51:23.891|TGF         | 10.3000|  5.0000|Fermi, GBM FSW     |
|bn210505305 |TGF210505305|     28.1667|2021-05-05 07:17:37.751|2021-05-05 07:27:52.163|2021-05-05 07:19:53.177|TGF         |110.2833|  7.3333|Fermi, GBM FSW     |
|bn210504806 |TGF210504806|     29.4333|2021-05-04 19:19:05.764|2021-05-04 19:29:20.176|2021-05-04 19:21:21.335|TGF         | 95.1500|  1.4833|Fermi, GBM FSW     |
|bn210504314 |TGF210504314|     34.9000|2021-05-04 07:29:59.736|2021-05-04 07:40:14.148|2021-05-04 07:32:12.330|TGF         |109.0500|  4.6167|Fermi, GBM FSW     |
|bn210503456 |TGF210503456|     30.3333|2021-05-03 10:54:50.612|2021-05-03 11:05:05.025|2021-05-03 10:57:07.639|TGF         | 67.2500|  5.9000|Fermi, GBM FSW     |
|bn210428633 |TGF210428633|     27.0500|2021-04-28 15:10:01.100|2021-04-28 15:20:07.321|2021-04-28 15:12:12.575|TGF         | 23.7333| -2.2833|Fermi, GBM FSW     |
|bn210427309 |TGF210427309|     26.2500|2021-04-27 07:22:53.729|2021-04-27 07:33:08.142|2021-04-27 07:25:12.228|TGF         |131.1500|-11.2167|Fermi, GBM FSW     |
|bn210426953 |TGF210426953|     27.1333|2021-04-26 22:50:05.028|2021-04-26 23:00:19.441|2021-04-26 22:52:23.383|TGF         |117.1167| -5.0333|Fermi, GBM FSW     |
|bn210426456 |TGF210426456|     19.4333|2021-04-26 10:55:05.556|2021-04-26 11:05:19.969|2021-04-26 10:57:19.047|TGF         |112.4000|  1.5500|Fermi, GBM FSW     |
|bn210425893 |TGF210425893|     32.2667|2021-04-25 21:22:58.802|2021-04-25 21:33:13.214|2021-04-25 21:25:17.700|TGF         |126.4833|  4.8000|Fermi, GBM FSW     |
|bn210425754 |TGF210425754|     29.0167|2021-04-25 18:04:08.422|2021-04-25 18:14:22.834|2021-04-25 18:06:27.241|TGF         |146.2333| 17.5167|Fermi, GBM         |
|bn210425468 |TGF210425468|     26.6333|2021-04-25 11:12:09.567|2021-04-25 11:22:23.981|2021-04-25 11:14:22.418|TGF         |126.3667|  6.5167|Fermi, GBM FSW     |
|bn210421842 |TGF210421842|     19.4000|2021-04-21 20:10:35.119|2021-04-21 20:20:49.532|2021-04-21 20:12:53.026|TGF         | 45.9167| 17.0333|Fermi, GBM         |
|bn210413552 |TGF210413552|     26.3833|2021-04-13 13:13:04.926|2021-04-13 13:23:19.337|2021-04-13 13:15:18.256|TGF         | 11.0000| -7.3833|Fermi, GBM FSW     |
|bn210412791 |TGF210412791|     35.0000|2021-04-12 18:56:09.511|2021-04-12 19:06:23.921|2021-04-12 18:58:24.473|TGF         | 98.7667|  1.5833|Fermi, GBM FSW     |
|bn210412562 |TGF210412562|     27.2500|2021-04-12 13:26:20.162|2021-04-12 13:36:34.572|2021-04-12 13:28:36.340|TGF         | 13.0333| -6.2833|Fermi, GBM FSW     |
|bn210410946 |TGF210410946|     34.5833|2021-04-10 22:39:55.197|2021-04-10 22:50:09.606|2021-04-10 22:42:14.223|TGF         | 76.9333| 10.5667|Fermi, GBM         |
|bn210324485 |TGF210324485|     29.8500|2021-03-24 11:36:43.085|2021-03-24 11:46:57.495|2021-03-24 11:38:57.087|TGF         |206.5833|-13.5833|Fermi, GBM FSW     |
|bn210320788 |TGF210320788|     35.1333|2021-03-20 18:55:12.776|2021-03-20 18:55:39.400|2021-03-20 18:55:21.256|TGF         |127.0000|-13.8833|Fermi, GBM         |
|bn210308046 |TGF210308046|     35.8000|2021-03-08 01:03:23.797|2021-03-08 01:13:38.207|2021-03-08 01:05:39.831|TGF         |128.8667|-12.0833|Fermi, GBM FSW     |
|bn210306556 |TGF210306556|     30.0500|2021-03-06 13:18:11.862|2021-03-06 13:28:18.081|2021-03-06 13:20:23.192|TGF         |114.9833|  2.2167|Fermi, GBM FSW     |
|bn210306416 |TGF210306416|     26.7000|2021-03-06 09:56:32.150|2021-03-06 10:06:46.562|2021-03-06 09:58:46.889|TGF         |126.4833|-15.5333|Fermi, GBM FSW     |
|bn210224458 |TGF210224458|     26.8167|2021-02-24 10:57:42.186|2021-02-24 11:07:48.404|2021-02-24 10:59:53.420|TGF         |246.4667| 10.3333|Fermi, GBM         |
|bn210221460 |TGF210221460|     26.1000|2021-02-21 11:02:25.420|2021-02-21 11:03:33.006|2021-02-21 11:02:33.916|TGF         |120.2000|-20.9667|Fermi, GBM FSW     |
|bn210214860 |TGF210214860|     36.9500|2021-02-14 20:35:52.806|2021-02-14 20:46:07.220|2021-02-14 20:38:05.097|TGF         | 37.7500|-23.0333|Fermi, GBM FSW     |
|bn210213593 |TGF210213593|     30.6000|2021-02-13 14:11:16.378|2021-02-13 14:21:30.792|2021-02-13 14:13:32.845|TGF         | 77.3833|  1.5000|Fermi, GBM         |
|bn210213089 |TGF210213089|     27.8667|2021-02-13 02:05:22.522|2021-02-13 02:15:36.935|2021-02-13 02:07:35.645|TGF         | 36.4333|-19.9000|Fermi, GBM FSW     |
|bn210202774 |TGF210202774|     28.5167|2021-02-02 18:32:12.475|2021-02-02 18:42:26.885|2021-02-02 18:34:29.917|TGF         |140.6000|-17.2833|Fermi, GBM FSW     |
|bn210131722 |TGF210131722|     29.5167|2021-01-31 17:18:07.319|2021-01-31 17:28:21.729|2021-01-31 17:20:22.649|TGF         |150.0667| -7.3167|Fermi, GBM FSW     |
|bn210130731 |TGF210130731|     27.3000|2021-01-30 17:29:49.905|2021-01-30 17:40:04.315|2021-01-30 17:32:05.779|TGF         |147.2333| -3.7833|Fermi, GBM FSW     |
|bn210126992 |TGF210126992|     13.0333|2021-01-26 23:46:09.333|2021-01-26 23:56:23.744|2021-01-26 23:48:27.608|TGF         |219.5667|-15.2667|Fermi, GBM FSW     |
|bn210115699 |TGF210115699|     27.1333|2021-01-15 16:43:36.670|2021-01-15 16:53:51.081|2021-01-15 16:45:51.184|TGF         | 32.3833|-21.5833|Fermi, GBM FSW     |
|bn210111245 |TGF210111245|     33.7167|2021-01-11 05:50:53.281|2021-01-11 06:01:07.693|2021-01-11 05:53:07.844|TGF         | 67.7333| 16.4167|Fermi, GBM FSW     |
|bn210106762 |TGF210106762|     29.1500|2021-01-06 18:14:24.697|2021-01-06 18:18:14.078|2021-01-06 18:16:36.636|TGF         |306.3333|  3.9167|Fermi, GBM         |
|bn201229999 |TGF201229999|     28.1667|2020-12-29 23:55:43.322|2020-12-30 00:05:57.736|2020-12-29 23:57:55.597|TGF         | 73.7167|-15.6833|Fermi, GBM FSW     |
|bn201224632 |TGF201224632|     26.2500|2020-12-24 15:07:24.380|2020-12-24 15:17:38.793|2020-12-24 15:09:37.615|TGF         |138.0667|-15.0000|Fermi, GBM FSW     |
|bn201224115 |TGF201224115|     26.5333|2020-12-24 02:43:46.072|2020-12-24 02:54:00.484|2020-12-24 02:46:01.530|TGF         | 35.9167|-24.9500|Fermi, GBM FSW     |
|bn201211320 |TGF201211320|     34.3500|2020-12-11 07:38:48.304|2020-12-11 07:49:02.716|2020-12-11 07:41:04.979|TGF         |133.6167| -3.0500|Fermi, GBM FSW     |
|bn201209268 |TGF201209268|     26.5833|2020-12-09 06:24:03.684|2020-12-09 06:34:18.096|2020-12-09 06:26:19.495|TGF         |141.8667|-14.5333|Fermi, GBM FSW     |
|bn201208914 |TGF201208914|     25.8833|2020-12-08 21:54:01.011|2020-12-08 22:04:15.421|2020-12-08 21:56:17.557|TGF         |136.7667| -5.5500|Fermi, GBM FSW     |
|bn201130203 |TGF201130203|     34.7167|2020-11-30 04:49:37.994|2020-11-30 04:59:52.404|2020-11-30 04:51:51.452|TGF         |119.0500|-13.5333|Fermi, GBM FSW     |
|bn201125415 |TGF201125415|     25.1333|2020-11-25 09:54:51.248|2020-11-25 10:05:05.660|2020-11-25 09:57:07.186|TGF         |252.7667| 10.6000|Fermi, GBM FSW     |
|bn201122603 |TGF201122603|     34.9833|2020-11-22 14:25:47.528|2020-11-22 14:36:01.941|2020-11-22 14:28:02.363|TGF         |358.1000|  2.7833|Fermi, GBM FSW     |
|bn201121617 |TGF201121617|     27.0833|2020-11-21 14:46:51.475|2020-11-21 14:57:05.889|2020-11-21 14:49:05.718|TGF         | 25.0000| -8.7333|Fermi, GBM FSW     |
|bn201121287 |TGF201121287|     29.3500|2020-11-21 06:51:15.872|2020-11-21 07:01:30.286|2020-11-21 06:53:31.427|TGF         |145.7667| -8.4333|Fermi, GBM FSW     |
|bn201119634 |TGF201119634|     32.4833|2020-11-19 15:10:11.946|2020-11-19 15:20:26.360|2020-11-19 15:12:26.829|TGF         | 19.3000| -1.6167|Fermi, GBM         |
|bn201112535 |TGF201112535|     34.8500|2020-11-12 12:48:45.673|2020-11-12 12:59:00.086|2020-11-12 12:51:02.348|TGF         |286.5667|  0.0167|Fermi, GBM FSW     |
|bn201107119 |TGF201107119|     50.0000|2020-11-07 02:48:40.421|2020-11-07 02:58:54.831|2020-11-07 02:50:55.591|TGF         |104.8667| -6.5333|Fermi, GBM FSW     |
|bn201101810 |TGF201101810|     24.6833|2020-11-01 19:24:41.851|2020-11-01 19:34:56.262|2020-11-01 19:26:54.190|TGF         |109.7500| -8.5667|Fermi, GBM FSW     |
|bn201030335 |TGF201030335|     32.1333|2020-10-30 08:00:41.103|2020-10-30 08:10:55.515|2020-10-30 08:02:58.034|TGF         |124.4333| 10.4333|Fermi, GBM FSW     |
|bn201029938 |TGF201029938|     26.1333|2020-10-29 22:28:11.889|2020-10-29 22:38:26.300|2020-10-29 22:30:26.131|TGF         |263.4167|  7.2667|Fermi, GBM FSW     |
|bn201025784 |TGF201025784|     12.5667|2020-10-25 18:46:23.411|2020-10-25 18:56:37.822|2020-10-25 18:48:35.429|TGF         | 19.6167| 18.2333|Fermi, GBM         |
|bn201021238 |TGF201021238|     35.1667|2020-10-21 05:40:33.177|2020-10-21 05:50:47.587|2020-10-21 05:42:50.475|TGF         |310.2667| 24.9667|Fermi, GBM FSW     |
|bn201018074 |TGF201018074|     33.3833|2020-10-18 01:44:38.130|2020-10-18 01:54:52.539|2020-10-18 01:46:56.340|TGF         | 64.7000| 19.2000|Fermi, GBM FSW     |
|bn201011458 |TGF201011458|     36.5167|2020-10-11 10:56:38.364|2020-10-11 11:06:52.774|2020-10-11 10:58:51.854|TGF         |254.4167| 19.9833|Fermi, GBM FSW     |
|bn201006791 |TGF201006791|     30.9833|2020-10-06 18:56:39.807|2020-10-06 19:02:23.878|2020-10-06 18:58:58.881|TGF         |290.0167|  5.3833|Fermi, GBM FSW     |
|bn201001300 |TGF201001300|     28.6167|2020-10-01 07:09:34.284|2020-10-01 07:19:48.697|2020-10-01 07:11:53.343|TGF         | 90.1167| 24.4000|Fermi, GBM FSW     |
|bn200928792 |TGF200928792|     34.7667|2020-09-28 18:57:45.570|2020-09-28 19:07:59.982|2020-09-28 19:00:00.500|TGF         |296.7167| 23.7833|Fermi, GBM FSW     |
|bn200927940 |TGF200927940|     34.9000|2020-09-27 22:30:58.124|2020-09-27 22:41:12.536|2020-09-27 22:33:16.142|TGF         |285.7667| 13.8000|Fermi, GBM FSW     |
|bn200925956 |TGF200925956|     34.7667|2020-09-25 22:54:20.729|2020-09-25 23:04:35.140|2020-09-25 22:56:36.955|TGF         |278.9833| 19.3833|Fermi, GBM FSW     |
|bn200919624 |TGF200919624|     27.8500|2020-09-19 14:57:04.302|2020-09-19 15:06:37.752|2020-09-19 14:58:41.328|TGF         |121.5333|  6.3000|Fermi, GBM FSW     |
|bn200917955 |TGF200917955|     34.5167|2020-09-17 22:52:38.859|2020-09-17 23:02:53.270|2020-09-17 22:54:53.117|TGF         |269.7333| 22.6500|Fermi, GBM FSW     |
|bn200916824 |TGF200916824|     14.8833|2020-09-16 19:43:48.989|2020-09-16 19:54:03.399|2020-09-16 19:46:06.095|TGF         |279.3000|  6.7667|Fermi, GBM FSW     |
|bn200916251 |TGF200916251|     28.9000|2020-09-16 05:59:57.366|2020-09-16 06:10:11.776|2020-09-16 06:02:09.960|TGF         |254.4833| 17.3333|Fermi, GBM FSW     |
|bn200915261 |TGF200915261|     26.5167|2020-09-15 06:13:36.072|2020-09-15 06:23:50.483|2020-09-15 06:15:48.218|TGF         |257.8333| 17.6500|Fermi, GBM FSW     |
|bn200913091 |TGF200913091|     28.3667|2020-09-13 02:08:45.586|2020-09-13 02:18:59.996|2020-09-13 02:11:02.325|TGF         | 20.7500| -1.4000|Fermi, GBM         |
|bn200911939 |TGF200911939|     29.2333|2020-09-11 22:30:01.414|2020-09-11 22:40:15.827|2020-09-11 22:32:18.569|TGF         |282.2000|  9.5667|Fermi, GBM FSW     |
|bn200910819 |TGF200910819|     19.3500|2020-09-10 19:36:42.660|2020-09-10 19:46:40.688|2020-09-10 19:38:54.982|TGF         |344.5667| 13.7667|Fermi, GBM FSW     |
